NAME,GEOID,County,Popup_Allocated,Popup_Spent,Popup_Percent,Expend_Total_SB3044_HB 1797,Allocated_Total_SB3044_HB 1797,Expend_prcnt_SB3044_HB 1797,Expend_HB1792_SB3044,Allocated_HB1792_SB3044,Expend_prcnt_HB1792_SB3044,Expend_HB1788_HB1797,Allocated_HB1788_HB1797,Expend_prcnt_HB1788_HB1797,Teaching_Fall20,Teaching_Spring21,Teaching_Fall21
Marshall County School District,2802850,Marshall County,"1,282,643.82","1,259,289.85",98.2,1259289.85,1282643.82,0.9818,929730.00,942181.00,0.9868,329559.85,340462.82,0.9680,Virtual,Hybrid,Traditional
McComb Separate School District,2802880,Pike County,"1,012,713.87","823,151.28",81.3,823151.28,1012713.87,0.8128,673841.41,863404.00,0.7804,149309.87,149309.87,1.0000,Hybrid,Hybrid,Hybrid
Meridian Public School,2802910,Lauderdale County,"1,848,542.98","1,518,638.33",82.2,1518638.33,1848542.98,0.8215,1411112.33,1406054.00,1.0036,107526.00,442488.98,0.2430,Hybrid,Traditional,Traditional
Monroe County School District,2802940,Monroe County,"1,244,797.58","1,211,925.73",97.4,1211925.73,1244797.58,0.9736,745664.00,761132.00,0.9797,466261.73,483665.58,0.9640,Hybrid,Hybrid,Traditional
Moss Point School District,2803000,Jackson County,"640,812.98","562,400.77",87.8,562400.77,640812.98,0.8776,472963.81,533844.00,0.8860,89436.96,106968.98,0.8361,Virtual,Hybrid,Traditional
Natchez-Adams School District,2803030,Adams County,"1,282,457.88","1,256,801.20",98.0,1256801.20,1282457.88,0.9800,1016902.00,1033129.00,0.9843,239899.20,249328.88,0.9622,Hybrid,Virtual,Traditional
Neshoba County School District,2803060,Neshoba County,"1,149,868.61","1,149,868.61",100.0,1149868.61,1149868.61,1.0000,906644.00,906644.00,1.0000,243224.61,243224.61,1.0000,Hybrid,Hybrid,Traditional
Nettleton School District,2803090,Lee County,"615,623.74","501,226.39",81.4,501226.39,615623.74,0.8142,356731.00,356731.00,1.0000,144495.39,258892.74,0.5581,Hybrid,Virtual,Traditional
New Albany Public School District,2803120,Union County,"948,857.95","879,023.95",92.6,879023.95,948857.95,0.9264,719369.00,789203.00,0.9115,159654.95,159654.95,1.0000,Hybrid,Hybrid,Traditional
Newton County School District,2803150,Newton County,"1,015,660.80","899,373.54",88.6,899373.54,1015660.80,0.8855,583242.98,599645.00,0.9726,316130.56,416015.80,0.7599,Traditional,Traditional,Traditional
Newton Municipal School District,2803180,Newton County,"448,457.39","438,078.50",97.7,438078.50,448457.39,0.9769,322464.00,332422.00,0.9700,115614.50,116035.39,0.9964,Hybrid,Traditional,Virtual
North Bolivar Consolidated School District,2800186,Bolivar County,"439,097.51","455,146.51",103.7,455146.51,439097.51,1.0365,314648.00,298599.00,1.0537,140498.51,140498.51,1.0000,Virtual,Virtual,Traditional
North Panola School District,2803210,Panola County,"585,718.96","576,254.97",98.4,576254.97,585718.96,0.9838,384878.01,394342.00,0.9760,191376.96,191376.96,1.0000,Virtual,Virtual,Hybrid
North Pike Consolidated School District,2803240,Pike County,"1,310,397.52","909,569.86",69.4,909569.86,1310397.52,0.6941,740855.00,1141681.00,0.6489,168714.86,168716.52,1.0000,Hybrid,Traditional,Traditional
North Tippah Consolidated School District,2803270,Tippah County,"618,549.41","368,428.16",59.6,368428.16,618549.41,0.5956,329970.36,351887.00,0.9377,38457.80,266662.41,0.1442,Hybrid,Traditional,Traditional
Noxubee County School District,2803300,Noxubee County,"929,141.38","874,214.84",94.1,874214.84,929141.38,0.9409,650843.00,705274.00,0.9228,223371.84,223867.38,0.9978,Virtual,Virtual,Traditional
Ocean Springs School District,2803360,Jackson County,"1,892,894.99","1,890,386.80",99.9,1890386.80,1892894.99,0.9987,1702646.00,1704446.00,0.9989,187740.80,188448.99,0.9962,Traditional,Traditional,Traditional
Okolona Municipal Separate School District,2803390,Chickasaw County,"250,448.21","213,073.72",85.1,213073.72,250448.21,0.8508,126672.62,163264.00,0.7759,86401.10,87184.21,0.9910,Virtual,Traditional,Traditional
Oxford School District,2803450,Lafayette County,"1,388,337.85","1,380,160.33",99.4,1380160.33,1388337.85,0.9941,1234113.48,1242291.00,0.9934,146046.85,146046.85,1.0000,Virtual,Traditional,Traditional
Pascagoula-Gautier School District,2803480,Jackson County,"2,318,215.36","2,088,808.43",90.1,2088808.43,2318215.36,0.9010,1853754.04,1882811.00,0.9846,235054.39,435404.36,0.5399,Virtual,Traditional,Traditional
Pass Christian Public School District,2803510,Harrison County,"675,664.70","662,489.7",98.1,662489.70,675664.70,0.9805,573847.00,587022.00,0.9776,88642.70,88642.70,1.0000,Traditional,Traditional,Traditional
Pearl Public School District,2803520,Rankin County,"1,821,561.45","1,916,259.29",105.2,1916259.29,1821561.45,1.0520,1730047.43,1635165.00,1.0580,186211.86,186396.45,0.9990,Hybrid,Traditional,Traditional
Pearl River County School District,2803540,Pearl River County,"1,263,957.83","1,236,673.74",97.8,1236673.74,1263957.83,0.9784,1047103.00,1058323.00,0.9894,189570.74,205634.83,0.9219,Hybrid,Traditional,Traditional
Perry County Schools,2803570,Perry County,"468,051.23","429,104.08",91.7,429104.08,468051.23,0.9168,310623.42,308121.00,1.0081,118480.66,159930.23,0.7408,Hybrid,Traditional,Traditional
Petal School District,2803530,Forrest County,"1,479,386.94","1,456,556.36",98.5,1456556.36,1479386.94,0.9846,1174763.00,1174763.00,1.0000,281793.36,304623.94,0.9251,Hybrid,Traditional,Traditional
Philadelphia Public School District,2803600,Neshoba County,"476,710.82","459,464.82",96.4,459464.82,476710.82,0.9638,392140.00,409386.00,0.9579,67324.82,67324.82,1.0000,Hybrid,Traditional,Traditional
Picayune School District,2803630,Pearl River County,"1,250,915.15","1,204,822.33",96.3,1204822.33,1250915.15,0.9632,993130.78,1038815.00,0.9560,211691.55,212100.15,0.9981,Virtual,Traditional,Traditional
Pontotoc City Schools,2803690,Pontotoc County,"1,026,068.42","718,305.37",70.0,718305.37,1026068.42,0.7000,463916.37,665024.00,0.6980,254389.00,361044.42,0.7050,Hybrid,Hybrid,Traditional
Pontotoc County School District,2803660,Pontotoc County,"2,121,086.98","1,656,497.10",78.1,1656497.10,2121086.98,0.7810,1065725.00,665024.00,0.9940,590772.10,1048410.98,0.5630,Hybrid,Hybrid,Hybrid
Poplarville Special Municipal Separate School District,2803720,Pearl River County,"643,725.73","627,821.49",97.5,627821.49,643725.73,0.9753,533629.00,532857.00,1.0014,94192.49,110868.73,0.8496,Traditional,Hybrid,Traditional
Prentiss County School District,2803750,Prentiss County,"1,454,786.06","1,449,679.99",99.6,1449679.99,1454786.06,0.9965,844482.00,849043.00,0.9946,605197.99,605743.06,0.9991,Hybrid,Hybrid,Traditional
Quitman School District,2803780,Clarke County,"882,444.93","875,548.49",99.2,875548.49,882444.93,0.9922,473837.00,474315.00,0.9990,401711.49,408129.93,0.9843,Virtual,Hybrid,Traditional
Quitman County School District,2803810,Quitman County,"598,488.86","537,046.00",89.7,537046.00,598488.86,0.8973,435286.00,452695.00,0.9615,101760.00,145793.86,0.6980,Hybrid,Hybrid,Traditional
Rankin County School District,2803830,Rankin County,"6,841,599.36","7,215,987.36",105.5,7215987.36,6841599.36,1.0547,6366990.00,5992602.00,1.0625,848997.36,848997.36,1.0000,Traditional,Traditional,Traditional
Richton School District,2803870,Perry County,"401,366.47","370,368.01",92.3,370368.01,401366.47,0.9228,228756.00,230938.00,0.9906,141612.01,170428.47,0.8309,Hybrid,Hybrid,Traditional
